"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
1428,"1","no_person","2024-09-13T03:23:25.412217Z",1428,"/data/upload/4/9824d100-January_01_1970_00_00_25.jpg",75.797,"2024-09-13T03:23:38.130663Z"
1429,"1","person","2024-09-13T03:24:04.320085Z",1429,"/data/upload/4/80c20d76-September_08_2024_17_34_32.jpg",7.988,"2024-09-13T03:24:04.320133Z"
1430,"1","no_person","2024-09-13T03:24:07.415181Z",1430,"/data/upload/4/eb3edb1c-September_08_2024_17_34_42.jpg",2.142,"2024-09-13T03:24:07.415228Z"
1431,"1","no_person","2024-09-13T03:24:11.285006Z",1431,"/data/upload/4/fc6e7e1b-September_08_2024_17_34_44.jpg",2.857,"2024-09-13T03:24:11.285052Z"
1432,"1","person","2024-09-13T03:24:13.771054Z",1432,"/data/upload/4/67b4d176-September_08_2024_17_34_54.jpg",1.543,"2024-09-13T03:24:13.771106Z"
1433,"1","person","2024-09-13T03:24:16.062986Z",1433,"/data/upload/4/8c37a815-September_08_2024_17_35_04.jpg",1.336,"2024-09-13T03:24:16.063033Z"
1434,"1","person","2024-09-13T03:24:18.162653Z",1434,"/data/upload/4/0d0eea2f-September_08_2024_17_35_13.jpg",1.094,"2024-09-13T03:24:18.162701Z"
1435,"1","person","2024-09-13T03:24:20.245373Z",1435,"/data/upload/4/edf55f88-September_08_2024_17_35_23.jpg",1.246,"2024-09-13T03:24:20.245422Z"
1436,"1","person","2024-09-13T03:24:22.530022Z",1436,"/data/upload/4/532a2780-September_08_2024_17_35_35.jpg",1.321,"2024-09-13T03:24:22.530069Z"
1437,"1","no_person","2024-09-13T03:24:25.494402Z",1437,"/data/upload/4/6e7a3727-September_08_2024_17_35_45.jpg",2.061,"2024-09-13T03:24:25.494453Z"
1438,"1","no_person","2024-09-13T03:24:28.546974Z",1438,"/data/upload/4/b6584d21-September_08_2024_17_35_55.jpg",2.213,"2024-09-13T03:24:28.547027Z"
1439,"1","person","2024-09-13T03:24:30.666843Z",1439,"/data/upload/4/694e217f-September_08_2024_17_36_06.jpg",1.264,"2024-09-13T03:24:30.666894Z"
1440,"1","person","2024-09-13T03:24:32.918367Z",1440,"/data/upload/4/cda3841d-September_08_2024_17_36_16.jpg",1.289,"2024-09-13T03:24:32.918416Z"
1441,"1","person","2024-09-13T03:24:34.835976Z",1441,"/data/upload/4/d9cff3a1-September_08_2024_17_36_28.jpg",1.085,"2024-09-13T03:24:34.836025Z"
1442,"1","person","2024-09-13T03:24:36.778621Z",1442,"/data/upload/4/2fe7f395-September_08_2024_17_36_37.jpg",0.98,"2024-09-13T03:24:36.778667Z"
1443,"1","person","2024-09-13T03:24:38.807237Z",1443,"/data/upload/4/bd68a7e0-September_08_2024_17_36_47.jpg",1.058,"2024-09-13T03:24:38.807285Z"
1444,"1","person","2024-09-13T03:24:40.647724Z",1444,"/data/upload/4/cd8939ce-September_08_2024_17_36_58.jpg",0.974,"2024-09-13T03:24:40.647775Z"
1445,"1","no_person","2024-09-13T03:24:43.417323Z",1445,"/data/upload/4/b63475a0-September_08_2024_17_37_08.jpg",1.847,"2024-09-13T03:24:43.417369Z"
1446,"1","no_person","2024-09-13T03:24:45.363969Z",1446,"/data/upload/4/507df969-September_08_2024_17_37_18.jpg",0.983,"2024-09-13T03:24:45.364017Z"
1447,"1","no_person","2024-09-13T03:24:47.268703Z",1447,"/data/upload/4/80673290-September_08_2024_17_44_54.jpg",0.964,"2024-09-13T03:24:47.268749Z"
1448,"1","no_person","2024-09-13T03:24:49.932589Z",1448,"/data/upload/4/f2eff882-September_08_2024_17_45_04.jpg",1.746,"2024-09-13T03:24:49.932665Z"
1449,"1","no_person","2024-09-13T03:24:51.734506Z",1449,"/data/upload/4/d2eb9afc-September_08_2024_17_45_06.jpg",0.933,"2024-09-13T03:24:51.734554Z"
1450,"1","no_person","2024-09-13T03:24:54.010862Z",1450,"/data/upload/4/172c7719-September_08_2024_17_45_08.jpg",1.216,"2024-09-13T03:24:54.010909Z"
1451,"1","no_person","2024-09-13T03:24:56.000883Z",1451,"/data/upload/4/84ca6452-September_08_2024_17_45_14.jpg",1.038,"2024-09-13T03:24:56.000929Z"
1452,"1","no_person","2024-09-13T03:24:57.839286Z",1452,"/data/upload/4/90a0fc8b-September_08_2024_17_45_24.jpg",0.93,"2024-09-13T03:24:57.839333Z"
1453,"1","no_person","2024-09-13T03:24:59.737157Z",1453,"/data/upload/4/54a4265d-September_08_2024_18_06_31.jpg",1.019,"2024-09-13T03:24:59.737207Z"
1454,"1","","2024-09-13T03:25:04.158939Z",1454,"/data/upload/4/893c76e6-September_08_2024_18_06_40.jpg",3.479,"2024-09-13T03:25:04.158992Z"
1455,"1","no_person","2024-09-13T03:25:06.852627Z",1455,"/data/upload/4/593b0efb-September_08_2024_18_06_50.jpg",1.801,"2024-09-13T03:25:06.852674Z"
1456,"1","no_person","2024-09-13T03:25:08.891358Z",1456,"/data/upload/4/25a7a14a-September_08_2024_18_07_00.jpg",1.152,"2024-09-13T03:25:08.891405Z"
1457,"1","no_person","2024-09-13T03:25:10.756070Z",1457,"/data/upload/4/5bd54b11-September_08_2024_18_07_10.jpg",1.011,"2024-09-13T03:25:10.756124Z"
1458,"1","no_person","2024-09-13T03:25:12.728671Z",1458,"/data/upload/4/0c1ac6a4-September_08_2024_18_07_19.jpg",0.976,"2024-09-13T03:25:12.728729Z"
1459,"1","no_person","2024-09-13T03:25:14.821020Z",1459,"/data/upload/4/c4b0526c-September_08_2024_18_07_29.jpg",1.099,"2024-09-13T03:25:14.821077Z"
1460,"1","no_person","2024-09-13T03:25:16.879862Z",1460,"/data/upload/4/782a7749-September_08_2024_18_07_39.jpg",1.107,"2024-09-13T03:25:16.879910Z"
1461,"1","no_person","2024-09-13T03:25:18.980711Z",1461,"/data/upload/4/3e4affb1-September_08_2024_18_07_49.jpg",1.262,"2024-09-13T03:25:18.980758Z"
1462,"1","no_person","2024-09-13T03:25:21.008203Z",1462,"/data/upload/4/382dfa3d-September_08_2024_18_07_58.jpg",1.191,"2024-09-13T03:25:21.008257Z"
1463,"1","no_person","2024-09-13T03:25:23.034055Z",1463,"/data/upload/4/8de004f0-September_08_2024_18_08_08.jpg",1.146,"2024-09-13T03:25:23.034101Z"
1464,"1","no_person","2024-09-13T03:25:25.016230Z",1464,"/data/upload/4/69378e35-September_08_2024_18_08_18.jpg",1.088,"2024-09-13T03:25:25.016274Z"
1465,"1","no_person","2024-09-13T03:25:27.013424Z",1465,"/data/upload/4/2661c8d5-September_08_2024_18_08_28.jpg",1.066,"2024-09-13T03:25:27.013470Z"
1466,"1","no_person","2024-09-13T03:25:29.067553Z",1466,"/data/upload/4/6cabdb2e-September_08_2024_18_08_38.jpg",0.967,"2024-09-13T03:25:29.067601Z"
1467,"1","no_person","2024-09-13T03:25:31.161025Z",1467,"/data/upload/4/6d479be5-September_08_2024_18_09_26.jpg",1.177,"2024-09-13T03:25:31.161081Z"
1468,"1","no_person","2024-09-13T03:25:33.325994Z",1468,"/data/upload/4/9016857f-September_08_2024_18_09_29.jpg",1.227,"2024-09-13T03:25:33.326067Z"
1469,"1","no_person","2024-09-13T03:25:35.389332Z",1469,"/data/upload/4/5b93a459-September_08_2024_18_11_58.jpg",1.13,"2024-09-13T03:25:35.389378Z"
1470,"1","no_person","2024-09-13T03:25:37.581688Z",1470,"/data/upload/4/bb3daf7c-September_08_2024_18_12_51.jpg",1.376,"2024-09-13T03:25:37.581740Z"
1471,"1","no_person","2024-09-13T03:25:39.611092Z",1471,"/data/upload/4/93b0d25e-September_08_2024_18_17_34.jpg",1.143,"2024-09-13T03:25:39.611139Z"
1472,"1","no_person","2024-09-13T03:25:41.928006Z",1472,"/data/upload/4/4916c868-September_08_2024_18_18_24.jpg",1.282,"2024-09-13T03:25:41.928054Z"
1473,"1","no_person","2024-09-13T03:25:43.932891Z",1473,"/data/upload/4/0709625f-September_08_2024_18_28_52.jpg",1.082,"2024-09-13T03:25:43.932955Z"
1474,"1","no_person","2024-09-13T03:25:45.939361Z",1474,"/data/upload/4/9b93bb5e-September_08_2024_18_29_02.jpg",1.064,"2024-09-13T03:25:45.939407Z"
1475,"1","no_person","2024-09-13T03:25:48.179214Z",1475,"/data/upload/4/43b3e8f5-September_08_2024_18_29_11.jpg",1.358,"2024-09-13T03:25:48.179272Z"
1476,"1","no_person","2024-09-13T03:25:51.559672Z",1476,"/data/upload/4/3fe3e1e7-September_08_2024_18_29_21.jpg",2.459,"2024-09-13T03:25:51.559723Z"
1477,"1","no_person","2024-09-13T03:25:53.491708Z",1477,"/data/upload/4/df80cbce-September_08_2024_18_29_31.jpg",1.015,"2024-09-13T03:25:53.491753Z"
1478,"1","person","2024-09-13T03:26:04.073311Z",1478,"/data/upload/4/4c2392fd-September_08_2024_18_30_24.jpg",9.48,"2024-09-13T03:26:04.073371Z"
1479,"1","person","2024-09-13T03:26:06.142760Z",1479,"/data/upload/4/783ce1ce-September_08_2024_18_30_34.jpg",1.219,"2024-09-13T03:26:06.142808Z"
1480,"1","person","2024-09-13T03:26:09.610941Z",1480,"/data/upload/4/d63198ff-September_08_2024_18_30_44.jpg",2.543,"2024-09-13T03:26:09.610993Z"
1481,"1","person","2024-09-13T03:26:11.587255Z",1481,"/data/upload/4/c2d4228e-September_08_2024_18_30_54.jpg",1.182,"2024-09-13T03:26:11.587305Z"
1482,"1","person","2024-09-13T03:26:14.362537Z",1482,"/data/upload/4/884ed22e-September_08_2024_18_31_04.jpg",1.935,"2024-09-13T03:26:14.362589Z"
1483,"1","no_person","2024-09-13T03:26:18.398326Z",1483,"/data/upload/4/376befe9-September_08_2024_18_31_13.jpg",3.117,"2024-09-13T03:26:18.398372Z"
1484,"1","no_person","2024-09-13T03:26:22.482286Z",1484,"/data/upload/4/ce5e234b-September_08_2024_18_31_23.jpg",3.198,"2024-09-13T03:26:22.482336Z"
1485,"1","person","2024-09-13T03:26:29.865858Z",1485,"/data/upload/4/ceeee02d-September_08_2024_18_31_33.jpg",6.499,"2024-09-13T03:26:29.865905Z"
1486,"1","no_person","2024-09-13T03:26:35.750135Z",1486,"/data/upload/4/1deb8f37-September_08_2024_18_31_43.jpg",4.949,"2024-09-13T03:26:35.750182Z"
1487,"1","person","2024-09-13T03:26:39.167510Z",1487,"/data/upload/4/4c11cf0b-September_08_2024_18_31_53.jpg",2.478,"2024-09-13T03:26:39.167567Z"
1488,"1","person","2024-09-13T03:26:41.362344Z",1488,"/data/upload/4/8e3b8fcb-September_08_2024_18_32_02.jpg",1.334,"2024-09-13T03:26:41.362388Z"
1489,"1","person","2024-09-13T03:26:43.384099Z",1489,"/data/upload/4/4c3d55fd-September_08_2024_18_32_12.jpg",1.115,"2024-09-13T03:26:43.384149Z"
1490,"1","person","2024-09-13T03:26:46.247589Z",1490,"/data/upload/4/6fd9b9e0-September_08_2024_18_32_22.jpg",1.936,"2024-09-13T03:26:46.247680Z"
1491,"1","no_person","2024-09-13T03:26:51.037688Z",1491,"/data/upload/4/876a2da7-September_08_2024_18_32_32.jpg",3.87,"2024-09-13T03:26:51.037744Z"
1492,"1","no_person","2024-09-13T03:26:53.701957Z",1492,"/data/upload/4/317fef2f-September_08_2024_18_32_41.jpg",1.697,"2024-09-13T03:26:53.702012Z"
1493,"1","no_person","2024-09-13T03:26:56.125466Z",1493,"/data/upload/4/a69809be-September_08_2024_18_32_51.jpg",1.349,"2024-09-13T03:26:56.125511Z"
1494,"1","no_person","2024-09-13T03:26:58.593140Z",1494,"/data/upload/4/58d66e35-September_08_2024_18_33_01.jpg",1.577,"2024-09-13T03:26:58.593206Z"
1495,"1","","2024-09-13T03:27:04.468209Z",1495,"/data/upload/4/7c45b420-September_08_2024_18_44_14.jpg",4.883,"2024-09-13T03:27:04.468256Z"
1496,"1","no_person","2024-09-13T03:27:06.567858Z",1496,"/data/upload/4/232a1ddd-September_08_2024_18_44_16.jpg",1.213,"2024-09-13T03:27:06.567907Z"
1497,"1","no_person","2024-09-13T03:27:08.593881Z",1497,"/data/upload/4/6537409e-September_08_2024_18_44_26.jpg",1.199,"2024-09-13T03:27:08.593939Z"
1498,"1","person","2024-09-13T03:27:10.842247Z",1498,"/data/upload/4/35b4c2a7-September_08_2024_18_45_57.jpg",1.308,"2024-09-13T03:27:10.842292Z"
1499,"1","person","2024-09-13T03:27:14.295910Z",1499,"/data/upload/4/bf57ce76-September_08_2024_18_46_07.jpg",2.503,"2024-09-13T03:27:14.295961Z"
1500,"1","person","2024-09-13T03:27:16.604989Z",1500,"/data/upload/4/8ca96d4a-September_08_2024_18_46_16.jpg",1.372,"2024-09-13T03:27:16.605034Z"
1501,"1","person","2024-09-13T03:27:18.872780Z",1501,"/data/upload/4/e80eb5aa-September_08_2024_18_46_26.jpg",1.397,"2024-09-13T03:27:18.872830Z"
1502,"1","person","2024-09-13T03:27:20.938419Z",1502,"/data/upload/4/58188e0f-September_08_2024_18_46_36.jpg",1.114,"2024-09-13T03:27:20.938492Z"
1503,"1","no_person","2024-09-13T03:27:23.412570Z",1503,"/data/upload/4/d0681b91-September_08_2024_18_47_27.jpg",1.508,"2024-09-13T03:27:23.412627Z"
1504,"1","no_person","2024-09-13T03:27:25.377785Z",1504,"/data/upload/4/e8d3e2c9-September_08_2024_18_47_37.jpg",1.034,"2024-09-13T03:27:25.377831Z"
1505,"1","no_person","2024-09-13T03:27:27.912910Z",1505,"/data/upload/4/47060851-September_08_2024_18_49_06.jpg",1.599,"2024-09-13T03:27:27.912959Z"
1506,"1","no_person","2024-09-13T03:27:29.848302Z",1506,"/data/upload/4/7d45b274-September_08_2024_18_49_09.jpg",1.084,"2024-09-13T03:27:29.848346Z"
1507,"1","no_person","2024-09-13T03:27:31.848115Z",1507,"/data/upload/4/8958c1f8-September_08_2024_18_49_20.jpg",1.111,"2024-09-13T03:27:31.848160Z"
